TOKEN NUMBER:		 1TOKEN TYPE:BEGIN		 ACTUAL TOKEN:begin
TOKEN NUMBER:		 0TOKEN TYPE:SCAN EOF		 ACTUAL TOKEN:read
TOKEN NUMBER:		 1TOKEN TYPE:BEGIN		 ACTUAL TOKEN:begin
TOKEN NUMBER:		 3TOKEN TYPE:READ		 ACTUAL TOKEN:read
TOKEN NUMBER:		 1TOKEN TYPE:BEGIN		 ACTUAL TOKEN:begin
TOKEN NUMBER:		 3TOKEN TYPE:READ		 ACTUAL TOKEN:read
TOKEN NUMBER:		 4TOKEN TYPE:WRITE		 ACTUAL TOKEN:write
TOKEN NUMBER:		 4TOKEN TYPE:WRITE		 ACTUAL TOKEN:write
TOKEN NUMBER:		 5TOKEN TYPE:IF		 ACTUAL TOKEN:if
TOKEN NUMBER:		 5TOKEN TYPE:IF		 ACTUAL TOKEN:if
TOKEN NUMBER:		 5TOKEN TYPE:IF		 ACTUAL TOKEN:if
TOKEN NUMBER:		 5TOKEN TYPE:IF		 ACTUAL TOKEN:if
TOKEN NUMBER:		 5TOKEN TYPE:IF		 ACTUAL TOKEN:if
TOKEN NUMBER:		 8TOKEN TYPE: VARIABLE		 ACTUAL TOKEN:i
TOKEN NUMBER:		 8TOKEN TYPE: VARIABLE		 ACTUAL TOKEN:i
TOKEN NUMBER:		 8TOKEN TYPE: VARIABLE		 ACTUAL TOKEN:i
TOKEN NUMBER:		 8TOKEN TYPE: VARIABLE		 ACTUAL TOKEN:i
TOKEN NUMBER:		 8TOKEN TYPE: VARIABLE		 ACTUAL TOKEN:i
TOKEN NUMBER:		 8TOKEN TYPE: VARIABLE		 ACTUAL TOKEN:i
TOKEN NUMBER:		 2TOKEN TYPE:END		 ACTUAL TOKEN:end
